,lambda,ag_s,ae_s,ae_v,ae_t
2940,1346.7544090550145,221.22192302830933,104.57943779426883,-187.91545328889146,9.095197589513973
2941,1347.049223479863,221.2095872136236,104.50838148427206,-187.9517788806318,9.08937479441886
2942,1347.344037904712,221.19726092923014,104.43731095744916,-187.9881391673512,9.0835542535229
2943,1347.6388523295605,221.18494416497035,104.36622617777901,-188.0245341475961,9.077735961440881
2944,1347.9336667544092,221.1726369106986,104.29512710925079,-188.0609638199614,9.071919912796394
2945,1348.2284811792579,221.16033915628387,104.22401371586302,-188.0974281830911,9.066106102221829
2946,1348.5232956041064,221.1480508916084,104.15288596162439,-188.13392723567736,9.060294524358298
2947,1348.818110028955,221.13577210656908,104.08174381055296,-188.1704609764611,9.054485173855648
2948,1349.1129244538038,221.12350279107616,104.01058722667639,-188.20702940423172,9.048678045372444
2949,1349.4077388786523,221.11124293505353,103.93941617403196,-188.24363251782722,9.042873133575942
2950,1349.702553303501,221.09899252843928,103.86823061666628,-188.28027031613385,9.037070433142084
2951,1349.9973677283497,221.08675156118537,103.79703051863508,-188.31694279808653,9.031269938755464
2952,1350.2921821531982,221.07452002325707,103.7258158440035,-188.35364996266821,9.025471645109299
2953,1350.5869965780469,221.06229790463345,103.65458655684567,-188.3903918089107,9.019675546905415
2954,1350.8818110028956,221.0500851953081,103.5833426212448,-188.42716833589364,9.013881638854253
2955,1351.176625427744,221.0378818852869,103.51208400129313,-188.46397954274534,9.008089915674832
2956,1351.471439852593,221.0256879645905,103.4408106610913,-188.5008254286422,9.002300372094705
2957,1351.7662542774415,221.01350342325304,103.36952256474959,-188.5377059928086,8.996513002850001
2958,1352.06106870229,221.00132825132184,103.29821967638607,-188.57462123451774,8.990727802685333
2959,1352.355883127139,220.9891624388581,103.2269019601278,-188.61157115309044,8.984944766353834
2960,1352.6506975519874,220.97700597593646,103.15556938011042,-188.64855574789576,8.97916388861712
2961,1352.945511976836,220.96485885264545,103.08422190047773,-188.68557501835124,8.973385164245235
2962,1353.2403264016848,220.9527210590867,103.0128594853821,-188.72262896392184,8.967608588016725
2963,1353.5351408265333,220.94059258537558,102.94148209898401,-188.75971758412118,8.96183415471851
2964,1353.829955251382,220.92847342164097,102.87008970545206,-188.7968408785103,8.956061859145963
2965,1354.1247696762307,220.91636355802495,102.79868226896296,-188.83399884669893,8.950291696102788
2966,1354.4195841010792,220.90426298468344,102.72725975370147,-188.87119148834412,8.944523660401119
2967,1354.714398525928,220.8921716917856,102.65582212385999,-188.9084188031512,8.938757746861375
2968,1355.0092129507766,220.8800896695138,102.5843693436391,-188.9456807908732,8.932993950312369
2969,1355.304027375625,220.86801690806377,102.51290137724673,-188.98297745131117,8.927232265591204
2970,1355.598841800474,220.85595339764475,102.44141818889864,-189.020308784314,8.92147268754325
2971,1355.8936562253225,220.8438991284797,102.36991974281811,-189.05767478977825,8.915715211022214
2972,1356.188470650171,220.83185409080426,102.29840600323587,-189.0950754676482,8.909959830889987
2973,1356.48328507502,220.8198182748674,102.22687693438981,-189.13251081791623,8.90420654201676
2974,1356.7780994998684,220.8077916709316,102.15533250052562,-189.16998084062203,8.898455339280924
2975,1357.072913924717,220.79577426927284,102.08377266589537,-189.20748553585346,8.892706217569074
2976,1357.3677283495658,220.78376606017946,102.01219739475914,-189.24502490374553,8.886959171776011
2977,1357.6625427744143,220.77176703395386,101.94060665138345,-189.2825989444813,8.881214196804661
2978,1357.957357199263,220.75977718091121,101.86900040004176,-189.32020765829117,8.875471287566134
2979,1358.2521716241117,220.7477964913795,101.79737860501466,-189.35785104545351,8.869730438979667
2980,1358.5469860489602,220.73582495570062,101.72574123058936,-189.3955291062937,8.863991645972613
2981,1358.841800473809,220.72386256422914,101.65408824105955,-189.43324184118532,8.858254903480397
2982,1359.1366148986576,220.7119093073325,101.58241960072584,-189.47098925054897,8.852520206446567
2983,1359.431429323506,220.6999651753917,101.51073527389514,-189.5087713348528,8.84678754982269
2984,1359.726243748355,220.68803015880027,101.43903522488078,-189.54658809461276,8.8410569285684
2985,1360.0210581732035,220.67610424796536,101.36731941800261,-189.58443953039182,8.835328337651378
2986,1360.315872598052,220.66418743330635,101.29558781758628,-189.62232564280077,8.829601772047237
2987,1360.610687022901,220.65227970525612,101.22384038796413,-189.6602464324974,8.823877226739683
2988,1360.9055014477494,220.64038105426056,101.15207709347419,-189.69820190018726,8.818154696720311
2989,1361.2003158725981,220.62849147077816,101.08029789846056,-189.73619204662288,8.812434176988726
