,lambda,ag_s,ae_s,ae_v,ae_t
3811,3275.671892375241,200.12641032686082,1062.4714923194258,492.5316788951739,62.02366212265245
3812,3277.3411357854743,200.1224738696856,1060.5308657741969,491.2765531283345,61.88304589166221
3813,3279.011229822286,200.11854158281378,1058.6006337376753,490.027522234262,61.743288689217295
3814,3280.6821749191427,200.11461346165956,1056.6807136681455,488.78454227505983,61.60438279618773
3815,3282.3539715097327,200.11068950164284,1054.7710238970542,487.54756972876856,61.46632058488778
3816,3284.0266200279684,200.10676969818863,1052.87148361748,486.3165614845306,61.32909451773612
3817,3285.7001209079817,200.10285404672754,1050.9820128727786,485.09147483782857,61.19269714593817
3818,3287.374474584126,200.0989425426953,1049.1025325454123,483.87226748577945,61.057121108192256
3819,3289.049681490972,200.0950351815333,1047.2329643459589,482.65889752250405,60.922359129418055
3820,3290.7257420633237,200.0911319586881,1045.3732308022677,481.4513234345348,60.78840401950564
3821,3292.4026567361952,200.0872328696116,1043.5232552488314,480.2495040963265,60.655248672088746
3822,3294.0804259448255,200.08333790976104,1041.6829618162828,479.05339876578626,60.52288606333689
3823,3295.759050124673,200.07944707459907,1039.8522754210746,477.86296707989004,60.39130925076917
3824,3297.4385297114277,200.07556035959368,1038.0311217553037,476.678169050338,60.26051137208712
3825,3299.1188651409907,200.07167776021802,1036.2194272767276,475.4989650592964,60.130485644030124
3826,3300.80005684949,200.06779927195086,1034.4171191988958,474.3253158551679,60.00122536124765
3827,3302.4821052732746,200.0639248902758,1032.6241254814533,473.1571825484315,59.8727238951916
3828,3304.1650108489166,200.06005461068239,1030.8403748205938,471.994526607541,59.744974693027714
3829,3305.848774013211,200.05618842866477,1029.065796639651,470.8373098548689,59.61797127656465
3830,3307.5333952031738,200.05232633972284,1027.3003210798431,469.6854944627132,59.49170724120188
3831,3309.218874856042,200.04846833936165,1025.5438789911543,468.5390429493528,59.36617625489446
3832,3310.9052134092844,200.0446144230916,1023.7964019233416,467.39791817514794,59.241372057135166
3833,3312.592411300583,200.04076458642805,1022.0578221171186,466.26208333871455,59.11728845795491
3834,3314.280468967847,200.03691882489193,1020.3280724954185,465.1315019731207,58.993919336937644
3835,3315.969386849204,200.03307713400946,1018.607086654837,464.006137942158,58.87125864225395
3836,3317.6591653830155,200.0292395093118,1016.8947988571633,462.885955436637,58.74930038970761
3837,3319.3498050078565,200.02540594633572,1015.1911440210802,461.7709189707602,58.62803866180194
3838,3321.041306162529,200.02157644062274,1013.4960577139527,460.6609933785195,58.50746760681766
3839,3322.733669286058,200.01775098772004,1011.8094761437594,459.5561438101519,58.387581437908395
3840,3324.4268948176928,200.01392958318002,1010.1313361511395,458.45633572863517,58.2683744322097
3841,3326.120983196906,200.01011222255985,1008.4615752015519,457.36153490623434,58.14984092996324
3842,3327.8159348633917,200.0062989014224,1006.8001313775659,456.2717074210954,58.031975333655126
3843,3329.511750257077,200.0024896153354,1005.1469433712423,455.18681965386855,57.91477210716775
3844,3331.2084298181035,199.998684359872,1003.5019504766574,454.1068382843987,57.79822577494669
3845,3332.905973986841,199.9948831306103,1001.8650925825096,453.03173028843713,57.68233092117943
3846,3334.6043832038836,199.99108592313385,1000.236310164854,451.9614629344088,57.56708218898848
3847,3336.303657910046,199.98729273303113,998.6155442799286,450.89600378021635,57.45247427963711
3848,3338.0037985463773,199.9835035558959,997.0027365570904,449.8353206700805,57.338501951747254
3849,3339.7048055541422,199.979718387327,995.3978291918696,448.7793817314348,57.22516002053125
3850,3341.4066793748334,199.97593722292856,993.8007649390993,447.7281553718472,57.112443357034685
3851,3343.1094204501687,199.97216005830984,992.2114871061623,446.6816102759866,57.0003468873917
3852,3344.8130292220903,199.96838688908502,990.6299395463326,445.63971540262753,56.888865592091996
3853,3346.5175061327664,199.96461771087365,989.0560666522075,444.6024399816907,56.77799450525976
3854,3348.2228516245864,199.96085251930035,987.489813349244,443.56975351132814,56.66772871394392
3855,3349.9290661401756,199.95709130999455,985.9311250893694,442.54162575503045,56.55806335741828
3856,3351.6361501223755,199.95333407859152,984.3799478447139,441.5180267387934,56.44899362649544
3857,3353.344104014255,199.94958082073066,982.8362281014079,440.4989267482999,56.34051476284898
3858,3355.0529282591074,199.94583153205738,981.2999128534767,439.48429632615074,56.232622058347154
3859,3356.7626233004603,199.94208620822147,979.7709495968074,438.47410626911216,56.12531085439639
3860,3358.473189582058,199.93834484487832,978.2492863232412,437.468327625429,56.018576541296625
3861,3360.184627547874,199.93460743768824,976.7348715147045,436.4669316921429,55.91241455760488
3862,3361.8969376421082,199.93087398231629,975.2276541374457,435.46989001245436,55.8068203895093
3863,3363.610120309187,199.92714447443308,973.7275836363515,434.47717437312167,55.70178957021307
3864,3365.324175993763,199.923418909714,972.234609929341,433.4887568018885,55.59731767932792
3865,3367.039105140716,199.91969728383955,970.7486834018358,432.5046095649413,55.49340034227603
3866,3368.7549081951483,199.91597959249535,969.2697549013169,431.52470516440604,55.39003322970255
3867,3370.4715856023995,199.91226583137174,967.7977757319355,430.5490163358617,55.287212056895335
3868,3372.189137808026,199.90855599616455,966.3326976492364,429.57751604590555,55.184932583215414
3869,3373.9075652578144,199.9048500825743,964.874472854918,428.61017748973035,55.08319061153502
3870,3375.6268683977755,199.90114808630682,963.4230539916879,427.6469740887405,54.98198198768429
3871,3377.347047674158,199.89745000307266,961.9783941381664,426.68787948818857,54.8813025999055
3872,3379.0681035334264,199.8937558285874,960.5404468038997,425.7328675548599,54.78114837831823
3873,3380.7900364222774,199.89006555857185,959.1091659243992,424.78191237476307,54.68151529438933
3874,3382.5128467876343,199.8863791887516,957.6845058562759,423.83498825086457,54.58239936041286
3875,3384.236535076649,199.88269671485742,956.2664213724291,422.8920697008427,54.48379662899727
3876,3385.961101736701,199.87901813262465,954.8548676573084,421.9531314548732,54.385703192560236
3877,3387.686547215394,199.8753434377942,953.4498003022384,421.0181484534423,54.28811518283123
3878,3389.412871960571,199.87167262611146,952.0511753007945,420.08709584517936,54.191028770360575
3879,3391.1400764202917,199.86800569332706,950.6589490442714,419.1599489847276,54.09444016403767
3880,3392.8681610428484,199.86434263519635,949.2730783171793,418.2366834306318,53.99834561061451
3881,3394.5971262767616,199.86068344747997,947.8935202928234,417.3172749432534,53.90274139423707
3882,3396.326972570777,199.85702812594306,946.5202325289358,416.40169948271443,53.8076238359838
3883,3398.057700373879,199.85337666635607,945.1531729633571,415.48993320685594,53.71298929340969
3884,3399.789310135271,199.8497290644941,943.7922999098004,414.58195246923884,53.6188341600992
3885,3401.521802304388,199.84608531613748,942.4375720536459,413.67773381715324,53.52515486522363
3886,3403.255177330895,199.84244541707096,941.0889484478067,412.7772539896544,53.4319478731061
3887,3404.989435664685,199.83880936308486,939.7463885086452,411.88048991563056,53.33920968279237
3888,3406.724577755882,199.83517714997393,938.4098520119434,410.9874187118837,53.24693682762812
3889,3408.4606040548333,199.83154877353795,937.079299088933,410.09801768124083,53.15512587484277
3890,3410.1975150121284,199.8279242295815,935.7546902223593,409.21226431067737,53.06377342513774
3891,3411.9353110785755,199.82430351391423,934.43598624263,408.3301362694821,52.972876112283224
3892,3413.673992705215,199.82068662235056,933.1231483239831,407.4516114074222,52.88243060271842
3893,3415.4135603433183,199.81707355070975,931.8161379807195,406.5766677529441,52.79243359515881
3894,3417.1540144443825,199.813464294816,930.5149170634895,405.70528351139086,52.70288182020851
3895,3418.8953554601458,199.80985885049827,929.2194477556078,404.8374370632353,52.61377203997784
3896,3420.637583842566,199.8062572135904,927.9296925694497,403.9731069623519,52.52510104770811
3897,3422.380700043834,199.8026593799313,926.6456143428618,403.1122719342846,52.43686566739935
3898,3424.1247045163723,199.79906534536426,925.3671762356383,402.25491087455515,52.34906275344487
3899,3425.869597712833,199.79547510573778,924.0943417260384,401.40100284697917,52.26168919027069
3900,3427.6153800861,199.79188865690517,922.8270746073448,400.55052708200856,52.1747418919796
3901,3429.3620520892823,199.78830599472445,921.5653389844759,399.7034629750914,52.08821780200126
3902,3431.109614175733,199.78472711505842,920.3090992706263,398.8597900850432,52.0021138927455
3903,3432.8580667990236,199.78115201377472,919.0583201839748,398.01948813245684,51.91642716526262
3904,3434.6074104129616,199.77758068674575,917.8129667444084,397.1825369981095,51.83115464890695
3905,3436.3576454715817,199.774013129849,916.573004270309,396.34891672140094,51.74629340100573
3906,3438.10877242916,199.77044933896633,915.3383983753598,395.51860749880086,51.66184050653159
3907,3439.860791740195,199.76688930998472,914.1091149654206,394.6915896823272,51.57779307778177
3908,3441.6137038594184,199.76333303879548,912.8851202354189,393.8678437780306,51.494148254059446
3909,3443.3675092417957,199.75978052129534,911.6663806662912,393.04735044449905,51.41090320136095
